,評論編號,評論,評論相對時間,查詢時間,評分,使用者名稱,有幾則評論,評論者網址
0,ChdDSUhNMG9nS0VJQ0FnSUNQLWRieG13RRAB,救人向錢看為錢服務不是為人民服務商業化的醫院,2 小時前,2024-11-26 16:51:00,3.0,Chen阿華宅,0,https://www.google.com/maps/contrib/111065556717984583210/reviews?hl=zh-TW
1,ChdDSUhNMG9nS0VJQ0FnSUNQcnVIZW53RRAB,不喜歡你們的倫審會，讓人感覺很有距離,1 天前,2024-11-26 16:51:00,1.0,ARTHUR SHEN,26,https://www.google.com/maps/contrib/111111647667288266282/reviews?hl=zh-TW
2,ChZDSUhNMG9nS0VJQ0FnSUNQN05PVVdBEAE,這四顆星給鄭若瑟醫生 是個細心會傾聽病患意見的好醫生，也會很積極地協助病患調整藥物，在他幫助下生活跟睡眠品質都有很大的改善，適應他的風格後會發現他很用心支持病患  扣一顆是眼科黃俐穎，非常不推!!等很久但感受不到專業，病症成因沒講、病症宜忌沒講直接就開自費藥也沒說是哪一種藥自費?多少錢?病患該做什麼避免什麼通通都沒說，就只說發炎開自費藥...,4 天前,2024-11-26 16:51:00,4.0,林紫嫣（Chita姬塔）,2,https://www.google.com/maps/contrib/100269494051319969396/reviews?hl=zh-TW
3,ChdDSUhNMG9nS0VJQ0FnSUNQOEtfYXFnRRAB,醫生很不尊重病人,5 天前,2024-11-26 16:51:00,1.0,佑佑江,2,https://www.google.com/maps/contrib/113821814135859685634/reviews?hl=zh-TW
4,ChdDSUhNMG9nS0VJQ0FnSUQzejhHeDJnRRAB,,6 天前,2024-11-26 16:51:00,4.0,吳正生,則評論,https://www.google.com/maps/contrib/107501833273124538034/reviews?hl=zh-TW
5,ChdDSUhNMG9nS0VJQ0FnSUQzai1hajV3RRAB,很棒的醫院，,6 天前,2024-11-26 16:51:00,5.0,全艾珍,則評論,https://www.google.com/maps/contrib/115495276452197854231/reviews?hl=zh-TW
6,ChZDSUhNMG9nS0VJQ0FnSUQzdTZMdldnEAE,機車車禍，朋友帶我去急診，身體很多傷口不舒服，護士有先處理傷口然後叫我去照X光，等了六個小時等到頭腦開始不清楚不舒服，6個小時後醫生才來，看了我跟X光2分鐘，結果我肩膀骨折，叫我改天再來找骨科。,6 天前,2024-11-26 16:51:00,1.0,Allan Chen,則評論,https://www.google.com/maps/contrib/107192384363658429227/reviews?hl=zh-TW
7,ChdDSUhNMG9nS0VJQ0FnSUQzNDRPaDF3RRAB,非常失望的一次就診經驗！前往這間睡眠中心本來是想解決長期早醒式失眠問題，結果卻讓我感到更加沮喪。醫生不僅態度極其冷漠，甚至顯得很沒禮貌，完全缺乏應有的耐心和專業度。問診過程中感覺被草率對待，這位醫生根本不在乎病患的狀況，問診過程感覺像是敷衍了事，隨便開了藥就打發我走。 更糟的是，他開的藥我也不會吃，自己有自費達衛眠 何須再吃他開的。花了不少錢卻沒有獲得任何幫助，反而覺得受了一肚子氣，不推xx文。,1 週前,2024-11-26 16:51:00,1.0,米菲,0,https://www.google.com/maps/contrib/102342817341304982644/reviews?hl=zh-TW
8,ChdDSUhNMG9nS0VJQ0FnSUQzZzdUQ2xBRRAB,,1 週前,2024-11-26 16:51:00,5.0,陳慶昱,則評論,https://www.google.com/maps/contrib/106175501803679405194/reviews?hl=zh-TW
9,ChdDSUhNMG9nS0VJQ0FnSUQzc1l5bXBnRRAB,停車位規劃差，尤其是機車位，根本就不夠。看診要的人跟員工跟學生搶位置，逼人停到違規區域。,1 週前,2024-11-26 16:51:00,3.0,Jimmy Pan,則評論,https://www.google.com/maps/contrib/103659453738902683094/reviews?hl=zh-TW
10,ChZDSUhNMG9nS0VJQ0FnSUQzaHZ1eGJnEAE,住院部護理師好像只會發藥跟量血壓 打個點滴手上戳三個洞? …,1 週前,2024-11-26 16:51:00,1.0,CDama大麻,0,https://www.google.com/maps/contrib/100495646299257967352/reviews?hl=zh-TW
11,ChdDSUhNMG9nS0VJQ0FnSUQzeXVmdnl3RRAB,2024/11/14上午十點多立夫大樓二樓櫃台抽血的小姐明明就技術差抽不到還要硬插我二針才換人來抽，只抽一管血被插了三次針，針還在你肉裡戳來戳去的，輕輕的說句不好意思，我可以對你說一百次換我拿針戳你行嗎？,1 週前,2024-11-26 16:51:00,1.0,堂本小優,0,https://www.google.com/maps/contrib/118131110112201270625/reviews?hl=zh-TW
12,ChZDSUhNMG9nS0VJQ0FnSUQzeXZYZGVBEAE,暫停中掛號批價我要過去了它把我的號碼按掉問號?,1 週前,2024-11-26 16:51:00,1.0,K K,0,https://www.google.com/maps/contrib/109408173100133193955/reviews?hl=zh-TW
13,ChZDSUhNMG9nS0VJQ0FnSUQzeXBicVRREAE,,1 週前,2024-11-26 16:51:00,1.0,侯順發,5,https://www.google.com/maps/contrib/112291210690545019690/reviews?hl=zh-TW
14,ChdDSUhNMG9nS0VJQ0FnSUMzNjRPZXJnRRAB,,2 週前,2024-11-26 16:51:00,4.0,呂坤海,則評論,https://www.google.com/maps/contrib/102643873484442075820/reviews?hl=zh-TW
15,ChZDSUhNMG9nS0VJQ0FnSUMza2U3U0dREAE,老人整合門診 不就是幫年老的長輩 提供多種醫療以及評估 提供年長患者 就醫科系 怎麼會變成 要年長患者 自行去掛號就醫 然後在拿報告來整合門診 那這樣 我們就直接各科掛號 檢查就好了 要 整合門診 幹什麼 告訴醫生哪邊有問題 該看哪個科系 卻直接說 自己去掛號 看完檢查後 再來看 整合門診 這是什麼 邏輯 中國醫 看了你們對 老人整合門診的介紹後 實際就診後 發覺 廣告不實ㄟ,2 週前,2024-11-26 16:51:00,1.0,丸花枝,4,https://www.google.com/maps/contrib/115509771541418665422/reviews?hl=zh-TW
16,ChZDSUhNMG9nS0VJQ0FnSUMzX3YtV1ZBEAE,老人整合科林醫師沒態度差，但講話方式讓人很不舒服，一點也不想幫老人家解決身體遇到的不舒服症狀，就是年紀大很多地方不舒服不知道要看哪科，才希望請醫生幫忙，醫師說我們應該自己去看完所有症狀都確定病因再去找他。 那都自己一科一科看完了找整合科的意思是什麼……,2 週前,2024-11-26 16:51:00,1.0,張水芬,0,https://www.google.com/maps/contrib/107271259161444052607/reviews?hl=zh-TW
17,ChZDSUhNMG9nS0VJQ0FnSURYdWFqQ2NBEAE,開非健保給付藥物？,2 週前,2024-11-26 16:51:00,3.0,審判官,0,https://www.google.com/maps/contrib/107538319730408059487/reviews?hl=zh-TW
18,ChZDSUhNMG9nS0VJQ0FnSURYLWNQVUZnEAE,婦產科某醫師如果只想跟實習醫師聊天，聊買房，不想看病患就不要接那麼多病人了，超音波檢查時一直聽到大聲聊天買房話題，看病患就不耐煩，連病例都沒有調對年份，是不是乾脆不要看診休息會好一點,3 週前,2024-11-26 16:51:00,1.0,Chen Karen,1,https://www.google.com/maps/contrib/108924777927813147375/reviews?hl=zh-TW
19,ChdDSUhNMG9nS0VJQ0FnSURYcWFxRW5RRRAB,你們的接駁車真的是一個字爛  醫院切出來 不會看後方有無來車  駕照真的雞腿換的,4 週前,2024-11-26 16:51:00,1.0,Neil Chang,則評論,https://www.google.com/maps/contrib/103652374742760883944/reviews?hl=zh-TW
20,ChZDSUhNMG9nS0VJQ0FnSURYaHZqSExnEAE,,4 週前,2024-11-26 16:51:04,5.0,Kai,0,https://www.google.com/maps/contrib/112397365241686164833/reviews?hl=zh-TW
21,ChZDSUhNMG9nS0VJQ0FnSURYZ3JMZkZ3EAE,醫生很好 病馬上就好了,1 個月前,2024-11-26 16:51:04,5.0,朱金彪,3,https://www.google.com/maps/contrib/112866791878727326733/reviews?hl=zh-TW
22,ChZDSUhNMG9nS0VJQ0FnSUNIX05Ib09REAE,實習又沒有錢，硬要學長學姐制，說白了就是要免費勞工，不順他們心就要找一堆麻煩，開醫院還沒同理心，就不舒服硬要說是我態度不好不認真不適合實習，簡單來說就是沒幫到就是不稱職免錢勞工啦，奉勸之後要實習的同學這裡就是大型老公繁殖中心，難怪態度都不會好到哪 裡去，一點開評論呵呵還真的每個科都有被噴,1 個月前,2024-11-26 16:51:04,1.0,阿盧,則評論,https://www.google.com/maps/contrib/102141985356917345690/reviews?hl=zh-TW
23,ChdDSUhNMG9nS0VJQ0FnSURYbkx6eDB3RRAB,前天打電話掛號，因為是初診，所以可以很快的直接預約隔天的門診，很感謝掛號櫃檯，接聽人員耐心的解釋！才能讓我媽媽趕快能預約到陳珊霓醫師，不然現在預約都要排到12月底了。 見到陳珊霓醫師本人，非常有親和力，也很有耐心和細心的解釋眼睛的狀況，果然大家一至好評大推薦的眼科醫師，第一次在中國醫藥大學看診，看診過程非常的愉快? 即使等診的時間非常久，但還好可以用線上看診進度表查詢號碼，非常可靠又好用，避免了漫長待在醫院一整天的時間，時間到再過去診間，大家可以多多利用～ 總結就是醫護人員們辛苦了??? 多一點包容，少一點抱怨和批評,1 個月前,2024-11-26 16:51:04,5.0,Mandy香菇,則評論,https://www.google.com/maps/contrib/111109533034765602045/reviews?hl=zh-TW
24,ChdDSUhNMG9nS0VJQ0FnSURYNU91TXZRRRAB,,1 個月前,2024-11-26 16:51:04,5.0,玉英,則評論,https://www.google.com/maps/contrib/113020240493146141111/reviews?hl=zh-TW
25,ChdDSUhNMG9nS0VJQ0FnSUNYaF9IZHZBRRAB,後中很多學生自私又有強迫症，帶男友同居，又不做垃圾分類 ，衣服乾了也不收，占用所有曬衣桿,1 個月前,2024-11-26 16:51:04,2.0,sfg dghk,0,https://www.google.com/maps/contrib/117897074738201137435/reviews?hl=zh-TW
26,ChZDSUhNMG9nS0VJQ0FnSUNYNGJlTkxBEAE,救護車就可以不讓行人嗎（非執勤期間）,1 個月前,2024-11-26 16:51:04,1.0,張家銘,0,https://www.google.com/maps/contrib/110231763759813253499/reviews?hl=zh-TW
27,ChZDSUhNMG9nS0VJQ0FnSUNYanFyMkdREAE,聚會讀經禱告申言打針吃藥運動喝水讀書,1 個月前,2024-11-26 16:51:04,5.0,徐得晟,則評論,https://www.google.com/maps/contrib/113385125575589380327/reviews?hl=zh-TW
