,評論編號,評論,評論相對時間,查詢時間,評分,使用者名稱,有幾則評論,評論者網址
0,ChdDSUhNMG9nS0VJQ0FnSUNZbDVmRGtnRRAB,210402更新 我還是希望網路掛號能夠預約至少1個月以後。 再來就是因為人潮眾多，我希望能夠調整自付額以達到以價制量的效果，有些醫護人員態度較差，我猜可能也是因為病患眾多太忙碌了，有些名醫1天要看上百位的病人，這樣子長期下來壓力不大嗎？ 我個人是覺得看一次費用700元以上是合理的。急診可以到1千元。因為是首善的醫院，這樣子的價格我覺得是合理的。 另外把舊建築拆掉來蓋新大樓也是對的。因為病患人數暴多。 另外做大腸鏡的醫師的態度較差。不過我覺得都是有原因的，因為每天遇到形形色色的人，難免會心情較差。  原文： 雖說醫生是最頂尖的。但是設備不一定比榮總好，然後為何網路掛號只開放2個星期，不能夠開放好幾個月的嗎？絕大多數醫生常常名額已滿是最為人詬病的地方。10分。能看得到醫生都是掛急診，真得不行了，才有機會被轉診到裡面。所以只能夠早上很早去排現場的嗎？稍微以價制量不行嗎？因為國人尤其是雙北人有那種台大最好的迷信。我這種老實人支持分級制的，很大病才去大醫院的感覺就吃虧了。我在急診室遇到的護理人員還有曾經在9樓照顧家屬遇到的護理人員都是屬於上乘的，給90分。  190603 4、5年前馬偕就有插卡報到機了，我去年再去台大，才發現裝了，晚了點。然後辦法很死，我早到，沒想到也是受懲罰，在那裡等了3個小時才看到醫生，既然有報到機的話，為何早到的人不能夠先看呢。是在要所有的人都遲到，過號才高興嗎？這就是不合理的地方，相形之下，馬偕就合理多了，早到的人，很快就會輪到了，因為晚到的人還沒有來，醫生先看誰還不是都一樣嗎？ 201214更新 一、早上去健檢中心被門口高壯警衛擋了下來，要白色看診單或是病歷，外面的牌子寫著三樣東西，還包括員工證。問題是我是去健檢，又沒有那些東西。一直向他反映要去6樓健檢中心，他卻一問三不知，後來不知道是誰跟他講的，要看健檢中心寄來的信封，才讓我進去。可見事前的教育訓練不夠，不然就是健檢中心可以附看診單。二、再來就是去樓上的電梯我因為對台大不熟，只知道全家便利商店旁邊的電梯，卻都只有通向5樓，於是只好去看右邊牆上掛有各單位地址的表，試找了好幾台電梯後，才再上方的路標指示那裡看到健檢中心字樣，然後右轉、向上再左轉。浪費了不少時間，其實可以在網頁上標示路線圖，就是有個箭頭以方便查找。三、另外換掉衣服後我穿著紙拖鞋，卻以為可以穿襪子，出去以後才發現與大家不一樣。這些小細節都可以在那個說明紙本上列印出來，以佳惠初次去健檢的民眾。其它健檢的醫師不錯，尤其是檢查攝護腺的那位醫師。管理師也都很親切，算是很開心的體驗。,1 天前,2024-11-26 15:53:41,4.0,小綠的朋友,則評論,https://www.google.com/maps/contrib/103691086812361731839/reviews?hl=zh-TW
1,ChdDSUhNMG9nS0VJQ0FnSUNQdnZDeXRnRRAB,我今天跟媽媽11月25號1點多到台大醫院腫瘤科去探望我爸爸 因為現在情況很危急 我們也是因為擔心所以我們全家人都到醫院去看爸爸我們也知道10點後沒開放那麼多人探病但是我們今天晚上1點多到醫院 一位男的護理師很大聲態度很不好的到病房跟我們講話 講話就講話態度有必要那麼不好嗎 現在的護理師都很大牌是不是啦 自己不高興就可以拿病人出氣是不是你們根本沒有資格當護理師  要不是因為家人住院誰願意來醫院啊 誰願意住院  我還想說護理師有知識水平看來也沒什麼知識水平水準,1 天前,2024-11-26 15:53:41,1.0,粘伶伶,0,https://www.google.com/maps/contrib/108022746067680718102/reviews?hl=zh-TW
2,ChZDSUhNMG9nS0VJQ0FnSUNQcXJHdUxnEAE,本人於2024/11/15（五）～202411/18（一）住院期間，整型外科黃慧夫醫師為臺灣醫療犧牲奉獻、不舍晝夜與假日仍夙夜匪懈投入，令本人甚為感佩。  黃慧夫醫師於看診忙碌一整日後，於2024/11/15日夜間20:00，仍不辭辛勞，術前專程至病房與本人討論手術治療方式；術後（2024/11/17），星期日仍到院了解病情、了解及確認本人恢復狀況。真的是無私、無我奉獻的大愛精神，醫界典範。  住院醫師陳旻德、護理師團隊張庭瑜備孕期間不辭辛勞、與其他護理同仁黃筱軒、何宜頻、洪亞孜?等（其餘住院期間未及記住尊姓大名謹此致歉）日夜交替輪班，換藥、觀察紀錄，在護理人手短缺、指導後進下鎮日忙碌，仍保持視病猶親的耐心、細心、專業，僅以此信奉上無盡感謝。,3 天前,2024-11-26 15:53:41,5.0,LI-WEI SHIH,則評論,https://www.google.com/maps/contrib/108305956916958941766/reviews?hl=zh-TW
3,ChRDSUhNMG9nS0VJQ0FnSUNQek5vdhAB,,4 天前,2024-11-26 15:53:41,5.0,林佩璇,則評論,https://www.google.com/maps/contrib/113852597718483530712/reviews?hl=zh-TW
4,ChdDSUhNMG9nS0VJQ0FnSUNQdUxMRmp3RRAB,之前因為坐骨神經痛的問題延伸到右大腿，那時候因為還不確定病因，所以先掛骨科，結果醫生照了X光說骨頭沒問題以後，草草問幾句話結束看診，連建議轉復健科或神經科都沒有。我問右腳踝習慣性扭傷跟這個有無關係，醫生回說，骨盆和大腿是上面，跟下面有甚麼關係。後來我去復健科，醫生說腳踝不穩也可能間接導致這些問題。雖然骨科不是復健科，但台大醫院骨科主治醫生如此草率的態度，實在讓我印象深刻。,4 天前,2024-11-26 15:53:41,3.0,Vivian Chih,13,https://www.google.com/maps/contrib/116243437780653064105/reviews?hl=zh-TW
5,ChZDSUhNMG9nS0VJQ0FnSUQzLV9DOVdREAE,好,6 天前,2024-11-26 15:53:41,5.0,嶺北,則評論,https://www.google.com/maps/contrib/112291331478826821163/reviews?hl=zh-TW
6,ChdDSUhNMG9nS0VJQ0FnSUQzdTZ6SmtRRRAB,交通方便，醫療團隊十分專業。,6 天前,2024-11-26 15:53:41,5.0,Asuka Haneda,0,https://www.google.com/maps/contrib/115413173821614532574/reviews?hl=zh-TW
7,ChZDSUhNMG9nS0VJQ0FnSUQzMnY3M0VnEAE,"來臺大醫院打新冠+流感疫苗, 問診的住院醫師態度輕慢隨便, 對於提問也不認真回答, 被施打者想了解施打疫苗後可能會產生的效應, 或是想了解不同疫苗選擇之間的差異, 是難以回答的問題嗎? 該住院醫師忽略我的問題, 只說, 所以你要打哪一種? 醫師不講清楚我怎麼知道要打哪一種? 然後整體動線混亂, 結帳領藥都講得不清不楚, 護理師只隨便比了一下, 每個步驟都得跑去問志工才知道要下一步要去哪裡. 真的很難相信這是台大醫院的水準. 台大醫院教出來的醫生問診是這種態度? 真的感到非常失望.",1 週前,2024-11-26 15:53:41,3.0,Melody,3,https://www.google.com/maps/contrib/101774248509630142057/reviews?hl=zh-TW
8,ChdDSUhNMG9nS0VJQ0FnSUQzclBUQjZ3RRAB,,1 週前,2024-11-26 15:53:41,5.0,Johnson Apatche,0,https://www.google.com/maps/contrib/107446955967632696615/reviews?hl=zh-TW
9,ChdDSUhNMG9nS0VJQ0FnSUMzX2NIQjJRRRAB,好吧，首先，我在 24 年 10 月 2 日清晨（颱風發生前兩天）通過 Uber 到達急診室。隊伍排得很長（可能是因為風暴即將來臨，城裡幾乎所有的東西都被關閉了）。也就是說，護理相對有效（感謝谷歌翻譯）和及時，而且，儘管我在走廊床上度過了 36 個小時，因為噪音而無法舒適或睡眠，但治療通常都很準時。我受到了保護，因為作為一名醫療專業人員，我能夠向護理人員指出我遇到了醫療緊急情況，並得到了待命的住院專科醫生的迅速治療。我很驚訝急診室的醫生和護士如何處理擁擠的病人！有些護理師會感到緊張嗎？是的，但是，在很大程度上，專業且樂於助人。當我最終被轉移到醫院的病床上後，護理以稱職的方式進行，直到我出院。對習慣西醫的外國遊客的一個警告是：家人和朋友提供了您可能期望的大部分日常護理，因此，如果您獨自一人，則可能很難給您的水瓶裝滿水，獲取食物，更換床單，我能夠與陌生人建立友誼，他們為我提供了無法估量的幫助，使我的逗留變得可以忍受。地下室有一些商店，你可以買到醫院不提供的必需品（拖鞋、毛巾、牙刷和牙膏、洗髮精、肥皂等），如果你沒有帶行李到達（就像我一樣），你會需要這些，以及美食廣場，我建議您將其作為您住院期間點餐的替代方案。是的，還有一家星巴克。,2 週前,2024-11-26 15:53:41,4.0,Marvin Weiss,則評論,https://www.google.com/maps/contrib/115231249838454815285/reviews?hl=zh-TW
10,ChZDSUhNMG9nS0VJQ0FnSURYeEtmM1F3EAE,首先，和日本決定性的差別是，你必須100%的時間有人陪伴。 護士除了醫療之外基本上不做任何事。  半夜裡，旁邊的人半夜呻吟著，『啊啊啊啊…』『61.62.63.64.65.61… ’這也沒辦法，因為我們共用一個房間。 然而，我聽到他們在呻吟和數數，直到早上，當我凌晨4點30分來稱體重時，白天我很困，因為我旁邊的人沒有檢查，而當我睡覺時，我說：“我晚上睡不著，因為我這個時間就睡覺！ 如果你服藥太晚，你會被告知，“因為你沒有按時服藥，所以很痛。” 在這種情況下，與吵鬧的人共用一個房間是個好主意... 非常貼心的醫生和護士卻有180度的不同，內科人員比較友善，外科人員無論我多麼痛苦都不理我。 我可以聽到護士們一路聊天到我的房間，當我感到疼痛時，這讓我感到難過。 手術後我想拍她時，護士說：「別幫我拍照。」我看得出她很漂亮，但她一定太不自覺了? 看起來，醫生越熟練，就越合適，但最好不要指望他或她「與病人親近」。 這些藥物像白痴一樣給我，我不知道它們是否有效。  能給5星評價的人一定是找到了非常好的醫生和護士。,2 週前,2024-11-26 15:53:41,2.0,Takeda Yiling,21,https://www.google.com/maps/contrib/113274943615396567914/reviews?hl=zh-TW
11,ChdDSUhNMG9nS0VJQ0FnSUMzN1ltU3Z3RRAB,,2 週前,2024-11-26 15:53:41,5.0,黃世明,0,https://www.google.com/maps/contrib/103108610592780162098/reviews?hl=zh-TW
12,ChZDSUhNMG9nS0VJQ0FnSUMzX3BYNURREAE,,2 週前,2024-11-26 15:53:41,5.0,童楷耀Kyle Tong,則評論,https://www.google.com/maps/contrib/108068936588676197393/reviews?hl=zh-TW
13,ChdDSUhNMG9nS0VJQ0FnSUMzLXZlZ3B3RRAB,首先感謝外科醫師黃約翰醫師幫我開大腸癌手術非常成功傷口細小康復很快住院沒幾天就可以出院非常優秀一位醫師在此表揚推薦給大家還有感謝15A住院醫師護理師客氣親切又禮貌日夜照顧我給15A表揚一下他們的辛勞上上下下五星好評,3 週前,2024-11-26 15:53:41,5.0,林文龍,0,https://www.google.com/maps/contrib/114509779262248797340/reviews?hl=zh-TW
14,ChZDSUhNMG9nS0VJQ0FnSUMzOHZDS05BEAE,診間外面的告示寫一進一出原則 尊重病人的隱私 輪到我看診 看到一半 旁邊突然多一對陌生人站在旁邊== 超奇怪,3 週前,2024-11-26 15:53:41,3.0,YuChi Pan,則評論,https://www.google.com/maps/contrib/113856419997086349008/reviews?hl=zh-TW
15,ChdDSUhNMG9nS0VJQ0FnSUMzNG91WHpRRRAB,,3 週前,2024-11-26 15:53:41,4.0,ledd Yeh,則評論,https://www.google.com/maps/contrib/103305552940663353648/reviews?hl=zh-TW
16,ChZDSUhNMG9nS0VJQ0FnSURiOV9TV0V3EAE,病時方知健是仙！ 幾次診療與檢查下來，希望找到原因，就可好好對症下藥，做好對應的處置和改善病情了。 都說‘醫者，父母心’，由衷感恩內分泌代謝科呂金盈醫師，呂醫師真是個氣質優雅、 醫術精湛的好醫師！ 她細心的為我安排心電圖、空腹抽血等檢查；詳細解說、並為我調整用藥；檢驗數值也一直在進步中。真是太感謝了！ 內科部風濕免疫科鄭喬峰醫師與團隊的認真精神，真的有感動到我們，其持續溫暖的、不辭勞苦的給予病患們面對病苦的勇氣，宛如為我們注入一股力量，繼續勇敢面對未知的明天... 並適時提供有關如何申請重大傷病卡的有關資訊，真的無限感恩。耐心而且專業的解說與溝通，引導病人了解自己的身體狀況與目前用藥的安全考量； 所安排的一切檢查也是讓病人了解更多自己目前相關疾病的問題；不辭辛勞的提前看診、並?病人們親自做乾燥症檢查評估、設計問卷填寫以期更能早日解決病人的切身之痛?認真詳細的說明有關 對於未來的治療方向，更讓病人感到心安，這位是我和胞姊眼中的好醫師—內科部風濕免疫 整合門診—鄭喬峰醫師 ！我們之於您的感恩之情 ，溢於言表！,3 週前,2024-11-26 15:53:41,5.0,cynthia Yang,9,https://www.google.com/maps/contrib/110926501608542835560/reviews?hl=zh-TW
17,ChZDSUhNMG9nS0VJQ0FnSURYMl9QQ1pnEAE,,3 週前,2024-11-26 15:53:41,5.0,Sylvia Hsieh,則評論,https://www.google.com/maps/contrib/102891481985421448897/reviews?hl=zh-TW
18,ChdDSUhNMG9nS0VJQ0FnSURYcS1TUWtRRRAB,實用,3 週前,2024-11-26 15:53:41,5.0,Andys chou,0,https://www.google.com/maps/contrib/105238132908503363720/reviews?hl=zh-TW
19,ChZDSUhNMG9nS0VJQ0FnSURYdVlIX0NBEAE,到醫學大樓二樓的長廊， 參觀水晶琉璃珠畫展。很療愈。,3 週前,2024-11-26 15:53:41,5.0,賴麗娟,26,https://www.google.com/maps/contrib/113591055610245019126/reviews?hl=zh-TW
20,ChdDSUhNMG9nS0VJQ0FnSURYb1o3Vnl3RRAB,如果您是遇到小問題的遊客。我強烈推薦。我有持續的扁桃體炎問題，我的喉嚨幾乎被堵住了。我接受了護士的護理，並在 30-45 分鐘內給了我抗生素處方。全部費用為 58 美元的醫院費用。,4 週前,2024-11-26 15:53:45,5.0,JoJi James,0,https://www.google.com/maps/contrib/113543115414141634039/reviews?hl=zh-TW
21,ChdDSUhNMG9nS0VJQ0FnSURYMnBXUnlRRRAB,臺大醫院的醫術，是全世界各國公認，最頂尖的醫術！ 全世界各國，有很多國家，都會時常來臺灣，請教臺灣醫師的醫術！ 所以，我們臺灣人很幸福！ 在臺灣的醫界，是龍頭！ 不論任何一家大醫院，都可以預約掛號看診成功。唯有臺大醫院，一般人要預約掛號看診，無論任何一科，「永遠無法預約掛號看診」！ 「此問題，貴院能否為病患解決？？」 各科看診進度太慢！須改進！,4 週前,2024-11-26 15:53:45,3.0,兔兔,則評論,https://www.google.com/maps/contrib/112287613504843281737/reviews?hl=zh-TW
22,ChdDSUhNMG9nS0VJQ0FnSURYcFBpVHd3RRAB,感謝耳鼻喉科住院醫師詹子瑩，住院期間承蒙詹醫師很有耐心且詳細為病患解說病情，還很體諒病患知道病情的感受，由衷感謝?? 為來一定是人見人愛的主治醫師。,1 個月前,2024-11-26 15:53:45,5.0,蔡啟文,0,https://www.google.com/maps/contrib/102350384111122421438/reviews?hl=zh-TW
23,ChdDSUhNMG9nS0VJQ0FnSURYeUtTX3ZnRRAB,,1 個月前,2024-11-26 15:53:45,4.0,Norman,0,https://www.google.com/maps/contrib/104105004533131135167/reviews?hl=zh-TW
