,評論編號,評論,評論相對時間,查詢時間,評分,使用者名稱,有幾則評論,評論者網址
0,ChZDSUhNMG9nS0VJQ0FnSUNQNnNHNlpBEAE,就問婦產科林姓護理師 欠妳錢嗎 臉是在臭什麼的,2 天前,2024-11-26 16:45:09,1.0,林威任,1,https://www.google.com/maps/contrib/100546884852718022593/reviews?hl=zh-TW
1,ChZDSUhNMG9nS0VJQ0FnSUNQMk5icUlBEAE,"上週媽媽手術住院時（687A),每一個護理師都好盡責好有耐心，晚上看護時，怕自己睡太熟忘記倒尿袋，就設了一個兩點的鬧鐘，鬧鐘響後發現半夜護理師已經幫我處理掉了，謝謝你們把媽媽照顧的這麼好。",4 天前,2024-11-26 16:45:09,5.0,Eva LIN,則評論,https://www.google.com/maps/contrib/108690254589617215852/reviews?hl=zh-TW
2,ChdDSUhNMG9nS0VJQ0FnSUNQZ095WG53RRAB,檢查很不詳細,5 天前,2024-11-26 16:45:09,1.0,虹霏,0,https://www.google.com/maps/contrib/115906441585108191346/reviews?hl=zh-TW
3,ChdDSUhNMG9nS0VJQ0FnSURYdWZXV29BRRAB,660病房A床的位置動線設計不良且在廁所門口，距離廁所門僅不到100公分，此床體驗與廁所最近的距離，聽見下雨（如廁）的聲音,1 週前,2024-11-26 16:45:09,1.0,陳合薇,1,https://www.google.com/maps/contrib/113378247016423346838/reviews?hl=zh-TW
4,ChZDSUhNMG9nS0VJQ0FnSUQzZzZudFh3EAE,要不是最低只能一顆星真想給你們零顆！  爛死了！線上掛號系統跳來跳去，第一次輸入資料說我看過了不能掛初診，第二次輸入資料又說沒有我的資料叫我掛初診，洗咧靠喔！第三次輸入資料掛初診成功，結果依照系統指示，到現場掛號櫃檯按平板輸入資料之後說我已有資料，直接抽號碼牌掛號就好…??櫃檯小姐說查無我的掛號資料、今日醫生看診名額都滿了，我只能去問能不能加掛，不能的話就改天再來，我說那掛號系統不是成功了嗎！最後查來查去說我在系統輸入身分證字號的時候在最前面多輸入一個*，所以系統無法判斷，我就問手機鍵盤的B要怎麼按到*？！(如照片)，而且我線上掛號之後的成功畫面我的身分證字號前面也沒有*啊！櫃檯也只回「我也不知道啊！」系統爛就不要不承認好不好！一間大醫院系統爛成這樣！處理問題的能力速度都很差！不要說波波醫生了，彰基根本波波管理吧????,1 週前,2024-11-26 16:45:09,1.0,Ann,則評論,https://www.google.com/maps/contrib/110999687248294759201/reviews?hl=zh-TW
5,ChdDSUhNMG9nS0VJQ0FnSUQzaEl1S29nRRAB,這次我太太頸部開刀，原本緊張的氣氛，心情動盪不安，我們遇到了嚴華正醫師，經由細心的解釋，專業的分析，所以我們決定開刀，開完刀，術後恢復狀況良好，感謝嚴華正醫師的專業及崇高醫德,2 週前,2024-11-26 16:45:09,5.0,吳銘結,11,https://www.google.com/maps/contrib/100542165729483119914/reviews?hl=zh-TW
6,ChZDSUhNMG9nS0VJQ0FnSUQzLUxtM0R3EAE,,2 週前,2024-11-26 16:45:09,5.0,Kelly,0,https://www.google.com/maps/contrib/109429550364232075564/reviews?hl=zh-TW
7,ChZDSUhNMG9nS0VJQ0FnSUQzb0pfUklnEAE,等手術太慢了，我有點心疼,2 週前,2024-11-26 16:45:09,1.0,pingshu zhung,0,https://www.google.com/maps/contrib/114959528979311801628/reviews?hl=zh-TW
8,ChZDSUhNMG9nS0VJQ0FnSUQzZ0xfN2ZREAE,問志工問題口氣好像外面欠債，這樣還可以來當志工？,2 週前,2024-11-26 16:45:09,1.0,優質生,則評論,https://www.google.com/maps/contrib/110321411963000376359/reviews?hl=zh-TW
9,ChdDSUhNMG9nS0VJQ0FnSUMzdVp5Z3NBRRAB,工作四年，給保全的薪資連基本薪都達不到，重點還過勞，還被內部員工要求到幾公里外買早餐，因公受傷還要被質疑是碰瓷。陳穆寬，給我一個合理的交代！,2 週前,2024-11-26 16:45:09,1.0,龔旭?,0,https://www.google.com/maps/contrib/118031392670440302328/reviews?hl=zh-TW
10,ChdDSUhNMG9nS0VJQ0FnSUMzdnRXdXhBRRAB,8:24第一個插健保卡報到 先報到沒有先叫 先叫別人  後面比我們晚來的都先看了 有夠爛,2 週前,2024-11-26 16:45:09,1.0,星,則評論,https://www.google.com/maps/contrib/115741705844648514769/reviews?hl=zh-TW
