,評論編號,評論,評論相對時間,查詢時間,評分,使用者名稱,有幾則評論,評論者網址
0,ChZDSUhNMG9nS0VJQ0FnSUNQMmJIY0tREAE,醫師、護理師、檢驗師都很好； 但是遇到領藥就一堆不懂排隊的老人，很無恥都一直插隊，明明號碼都還沒到排什麼隊？領藥的人真的要改進！,5 小時前,2024-11-26 16:11:16,5.0,Chia-Chin HSIEH,0,https://www.google.com/maps/contrib/116137273126100768236/reviews?hl=zh-TW
1,ChdDSUhNMG9nS0VJQ0FnSUQzcjdLYThBRRAB,陪媽媽回診，因定期需要輸血治療，注射室的護士小姐們都很照顧病患，體諒家屬的心情，謝謝妳們。 但每次看到注射室病患太多需要治療，護士們都忙到忘了吃飯，人力的調配需要院方多加強。,6 天前,2024-11-26 16:11:16,5.0,鄭文彥,0,https://www.google.com/maps/contrib/106477396400157974870/reviews?hl=zh-TW
2,ChdDSUhNMG9nS0VJQ0FnSUQzcjlLTXFnRRAB,馬偕注射室  服務人員親切 環境乾淨 寬敞 重點是  護士經驗豐富 減少患者的擔心 感謝妳們 ….,6 天前,2024-11-26 16:11:16,5.0,梅珠黃,3,https://www.google.com/maps/contrib/107005109614340452333/reviews?hl=zh-TW
3,ChdDSUhNMG9nS0VJQ0FnSUQzdThqcGdnRRAB,急診看診相當隨意，血便發燒，抽血照x光完就說沒事可以回家了  動線也相當奇怪，患者發燒卻要走5分鐘到大廳領藥 急診領藥櫃檯的藥師也不在位置上，等很久才回來 急診護理師還抱怨患者剛剛跑去哪裡，叫不到人,6 天前,2024-11-26 16:11:16,1.0,Sean Chen,則評論,https://www.google.com/maps/contrib/108053121404760477422/reviews?hl=zh-TW
4,ChZDSUhNMG9nS0VJQ0FnSUQzeTczRU53EAE,以前的馬偕乾淨衛生，今年我住院我才知道馬偕變了好多尤其是清潔方面真的讓我傻眼? 13住院至今14號開完刀先生才來病房陪照顧，睡沒幾小時先生全身癢到不行，我馬上叫他回家去洗澡擦藥至今幾天了身上的養還未退，手臂上有除外背後也有～真的讓我跌破眼鏡了 清潔我來那麼多天只見二次進來而且掃跟沒掃一樣 滿地還是頭髮屑屑，抹地板一把醫院不是都漂白水稀釋消毒嗎？我都沒聞過，馬偕醫院真的不考慮換一下清潔公司嗎？ 後來我都叫先生盡量不要來好了～我能自己就自己處理 馬偕真的要考慮換一換外包公司了,1 週前,2024-11-26 16:11:16,1.0,惠美（美仔）,則評論,https://www.google.com/maps/contrib/100469933581710203865/reviews?hl=zh-TW
5,ChdDSUhNMG9nS0VJQ0FnSUQzX2VQNTFnRRAB,從孩子出生後得知病況，就一直尋覓能提供治療的院所； 所幸新竹市立馬偕紀念醫院 兒童血液腫瘤科主治醫師黃鼎煥主任悉心的說明、各項資源的協助還有良好的治療以及後續的追蹤照護，得以讓孩子有良好環境幫助。  非常感謝注射室黃護理師和蔣護理師帶領的護理師團隊，讓孩子每週都很沒有壓力的去打針，也超級不會害怕小孩子的打針大魔王關卡。  也感謝兒童醫院內言語治療課程陳護理師，讓孩子能有良好的言語訓練；兒童醫院也有注射室也很棒！  且關於隨時急診的協助，院內急診室也都能立即處置，並有效的串連各科室提供需要的幫助。  目前許多有關照護、治療、各項檢查，都在新竹馬偕紀念醫院、兒童醫院內進行；醫生、護理師團隊、行政人員、志工，小從詢問動線、大至治療環境都能提供幫助，真的很感謝新竹馬偕，有你們真好。,1 週前,2024-11-26 16:11:16,5.0,王海螺,0,https://www.google.com/maps/contrib/106216781350620969470/reviews?hl=zh-TW
6,ChdDSUhNMG9nS0VJQ0FnSUQzX2JiYmdnRRAB,感謝黃鼎煥醫師對我家人的幫助，讓家人的病況能有效治療。 非常感謝注射室黃護理師和蔣護理師親切、仔細、耐心幫助我的家人治療，謝謝急診支援護理師的協助！  家人許多治療都在這裡進行，醫生、護理師團隊、行政、志工都很親切，環境舒適。,1 週前,2024-11-26 16:11:16,5.0,Andy,0,https://www.google.com/maps/contrib/101134183138543928503/reviews?hl=zh-TW
7,ChZDSUhNMG9nS0VJQ0FnSUQzOGFyb0xREAE,很糟糕的急診就診經驗！負責檢傷分類的護理師和掛號繳費的櫃檯對於極不舒服的病患完全沒有展現同理心，一副「你還不會死不要來增加我工作」的樣子。 碰到的急診醫師林栩帆更誇張，態度相當不耐煩。給我兩個選擇，我誠懇請她分析利弊給予建議，她瞪視著我說「我不會幫你決定！」詢問她病情問題她翻白眼說「我看起來像知道的樣子嗎？」後來吃了她開的藥之後沒有比較好還更嚴重！最近波波醫生爭議延燒，一查發現這位林栩帆醫生也是波蘭海歸醫師，不禁想也許林醫師並非自以為是、睥睨一切、沒有基本禮貌，而是他真的無法給予適切建議也真的不知道如何解答病患的問題。 P.S.看到之前有幾則一顆星也都是獻給林栩帆醫師的，完全能體會評論者的感受。可惜急診無法選擇醫師，只能避免到馬偕急診了。,1 週前,2024-11-26 16:11:16,1.0,Blake Quinn,則評論,https://www.google.com/maps/contrib/117656664061832463498/reviews?hl=zh-TW
8,ChdDSUhNMG9nS0VJQ0FnSUQzaHF2Wnd3RRAB,波波醫生大本營 七星好評,1 週前,2024-11-26 16:11:16,2.0,白紙寫國字,0,https://www.google.com/maps/contrib/108769796123534297361/reviews?hl=zh-TW
9,ChdDSUhNMG9nS0VJQ0FnSUQzeXF1eDNnRRAB,護士態度真的很差，老人家遲到10分鐘，被罵到翻掉！怒瞪她2次才閉嘴！人家想遲到嗎?有必要當著家屬面前惡狠狠的罵？做這職業能不能有點同理心！能不能溫柔一點！有點耐心！,1 週前,2024-11-26 16:11:16,1.0,林彥端,6,https://www.google.com/maps/contrib/111702233965128923943/reviews?hl=zh-TW
10,ChZDSUhNMG9nS0VJQ0FnSUQzNHBUUUxBEAE,我爸爸從7月開始化療，每兩個禮拜就要做一次化療，許彥寧許醫師，人很忙，忙到有什麼問題，只能靠有去化療時她查房的三分鐘匆忙告知她，然後她用著比饒舌還快的速度急忙說了幾句就走了，每去一次告知一次，到現在4個月了，沒有做任何一次檢查，我爸爸是癌末患者，雖然很多人會覺得反正都癌末了，但中途的不適，卻沒有一個檢查、解決，只會一直用“再做一次，看下一次還會不會這樣?來搪塞我們,1 週前,2024-11-26 16:11:16,1.0,唐伯虎,1,https://www.google.com/maps/contrib/102483767255867452920/reviews?hl=zh-TW
