,評論編號,評論,評論相對時間,查詢時間,評分,使用者名稱,有幾則評論,評論者網址
0,ChdDSUhNMG9nS0VJQ0FnSUNQa2VLbC1BRRAB,想感謝長庚的癌症科： 枋岳甫副教授、饒俊芳護理師、個案管理師石鳳雅與其他護士小姐。 在抗癌的這段時間，很幸運的遇到上述的醫療團隊，一路上給予支持、照顧、幫忙，讓本來很害怕的我感覺到滿滿的安全，一步步的完成這趟療程，非常感激長庚與各位醫師護士，謝謝~~,23 小時前,2024-11-26 16:27:21,5.0,高淑惠,0,https://www.google.com/maps/contrib/106659072558933638710/reviews?hl=zh-TW
1,ChZDSUhNMG9nS0VJQ0FnSUNQcm8ydEF3EAE,,1 天前,2024-11-26 16:27:21,5.0,胡惠欣,則評論,https://www.google.com/maps/contrib/111648358741805107175/reviews?hl=zh-TW
2,ChZDSUhNMG9nS0VJQ0FnSUNQN09mQmJBEAE,預約11/26開刀 前幾天打電話確認時 說被改到12/3因為醫生請假  但我完全沒有收到通知  皮膚科 林靜怡醫師,4 天前,2024-11-26 16:27:21,1.0,S oo,0,https://www.google.com/maps/contrib/106303717696553989078/reviews?hl=zh-TW
3,ChZDSUhNMG9nS0VJQ0FnSUQ3NE9fckZ3EAE,醫療人員盡心盡力，很辛苦! 您們的認真與努力，我們都看見了!! 感謝大家!!,4 天前,2024-11-26 16:27:21,5.0,chao li,2,https://www.google.com/maps/contrib/102287991872392251880/reviews?hl=zh-TW
4,ChdDSUhNMG9nS0VJQ0FnSUNQcEthbHZnRRAB,開刀住院當天我就有跟住院醫生跟護理師講我有過敏、感冒偏頭痛 他們當天把過敏感冒藥還給我 說叫我把剩下兩包吃完 結果護理師沒交接 隔天開刀 還怪我吃了藥喝一口水 天啊 這不是你們把藥還給我叫我吃的嗎！ 住院期間我家人有跟護理師說 我有痰咳嗽肚子很痛 結果我家人被酸言酸語 說全身麻醉本來就會這樣 每個都這樣 後來有一位護理師進來 我把原委講給他聽 他才說你們沒有跟醫生講 我們也沒辦法 我說是跟哪位醫生講 開刀醫生嗎 他說對 原來又是他們沒交接病人的狀況 而且我們當初住院是有告知院方感冒過敏喉嚨有痰不舒服也有附醫生處方籤的 怎麼到頭來變成是病人的問題呢？今天我們是住院當天就告知了，卻還要被護理師酸言酸語。 住院期間，遇到一些很好的護理師打針、推藥給藥的過程動作不大很輕柔不會用痛病人 兩顆星是給他們的，謝謝?讓我住院請間感受到一些友善跟溫暖。 但是也遇到很糟糕的護理師，講話口氣槽糕恐嚇病人不知道要還要札幾針就算了，半夜進來動作很大，推藥推很快，病人唉唉叫了 ，還不停手，在護理站半夜嘰嘰喳喳的聊天，不知道病人需要安靜休息嗎？不是都會廣播放低音量嗎？這些護理師是在做什麼？其他就不一一訴說了，我只希望這些人得到報應，你們一定會得到報應的，欺負疼痛體弱的病人及擔憂的家屬。,4 天前,2024-11-26 16:27:21,2.0,謝小姐,則評論,https://www.google.com/maps/contrib/111301888887883346260/reviews?hl=zh-TW
5,ChZDSUhNMG9nS0VJQ0FnSUQzOTl1SE93EAE,,6 天前,2024-11-26 16:27:21,5.0,avinidy,則評論,https://www.google.com/maps/contrib/106106902964805575455/reviews?hl=zh-TW
6,ChZDSUhNMG9nS0VJQ0FnSUQzdDhYZ0VREAE,自從我去年暑假生病以來，承蒙林口長庚醫院所有人員的照顧。特別要感謝婦癌科湯雲心醫師和9K護理站小姐姐們無微不至的照顧，把我從十分嚴重危及生命的病況調理到如今神采奕奕！可以說是從鬼門關拉回來！要感謝的人很多，就不一一贅述，謝謝長庚醫院讓我重拾希望，相信我會越來越好！,6 天前,2024-11-26 16:27:21,5.0,曾筱棻,0,https://www.google.com/maps/contrib/113786424987368570714/reviews?hl=zh-TW
7,ChZDSUhNMG9nS0VJQ0FnSUQzdS03QkdnEAE,謝謝台北長庚胸腔內科黃繼賢醫師對病況發展的警覺，謝謝林口長庚胸腔外科陳維勳醫師精湛手術，謝謝林口長庚個管師曾麗娟積極的連繫安排與關心，更感謝住院期間周冠文護理師、與其他護理師、實習護理師、老師的照顧與關心，感謝大家讓我順利康復出院。,6 天前,2024-11-26 16:27:21,5.0,連威雯,0,https://www.google.com/maps/contrib/109373289114548735450/reviews?hl=zh-TW
8,ChZDSUhNMG9nS0VJQ0FnSUQzdTVUMUpnEAE,牙科部醫生專業有耐心，但照x光的小姐態度極差只差沒罵髒話，如果不想做可以回家 不要耽誤社會運作。,6 天前,2024-11-26 16:27:21,1.0,金,0,https://www.google.com/maps/contrib/118251518345912011194/reviews?hl=zh-TW
9,ChdDSUhNMG9nS0VJQ0FnSUQzM1phMWpRRRAB,,1 週前,2024-11-26 16:27:21,5.0,Jason Chan,則評論,https://www.google.com/maps/contrib/102465728444939180423/reviews?hl=zh-TW
10,ChdDSUhNMG9nS0VJQ0FnSUQzbmZ2bXhRRRAB,醫護人員 醫生們 感謝您 辛苦了。 感恩 內分泌科盧醫師，骨科翁教授醫師 腎臟科 吳醫師及跟各科醫師團隊幫忙。 讓我們家母親協助醫療保健……?????? …,1 週前,2024-11-26 16:27:21,5.0,劉嘉芬,則評論,https://www.google.com/maps/contrib/117392587216196084788/reviews?hl=zh-TW
11,ChZDSUhNMG9nS0VJQ0FnSUQzdGNUS1lnEAE,,1 週前,2024-11-26 16:27:21,1.0,沈德垣,5,https://www.google.com/maps/contrib/100872274026144771734/reviews?hl=zh-TW
12,ChdDSUhNMG9nS0VJQ0FnSUQzMVpUNjJ3RRAB,2024/6/7由蔡?如醫師主刀眼袋手術，於術後反診追蹤，持續反應術後左眼仍感覺有眼袋，以及淚溝問題，蔡醫師於中間反診時反映再觀察，直到上回回診11/5，才反應淚溝問題可以再補玻尿酸，或是補脂，實在不免讓人聯想沒開好！！抽脂補淚溝不是一開始要動手術時就該告知，而不是事後補救，7萬手術費用得到的手術結果實在令人失望，術後追蹤以及最後一次回診回覆實在不免讓人覺得要在收費一次以掩蓋術後沒開好之事實！醫術醫德令人覺得失望！7萬塊以市面上的價格不算便宜，得到此結果，令人失望，奉勸有想動此手術患者，慎選,1 週前,2024-11-26 16:27:21,1.0,簡鈺珈,13,https://www.google.com/maps/contrib/105936110838031845717/reviews?hl=zh-TW
13,ChZDSUhNMG9nS0VJQ0FnSUQzZ1pfdWFnEAE,11／16凌晨有用藥問題（胃明朗藥物）急問藥局，藥局是個男生接的，態度跟口氣非常的好，聲音也很好聽，立馬解決我的問題，非常謝謝他，請醫院可以多多給這些半夜醫護人員一點稱讚跟獎勵,1 週前,2024-11-26 16:27:21,5.0,脫皮的蛇脫皮的蛇,2,https://www.google.com/maps/contrib/105735409901729954240/reviews?hl=zh-TW
14,ChZDSUhNMG9nS0VJQ0FnSUQzZ2ZpNENnEAE,,1 週前,2024-11-26 16:27:21,1.0,Chloe in Taiwan,2,https://www.google.com/maps/contrib/102108919347138974182/reviews?hl=zh-TW
15,ChdDSUhNMG9nS0VJQ0FnSUQzdHVQWGl3RRAB,,1 週前,2024-11-26 16:27:21,5.0,T徐良,則評論,https://www.google.com/maps/contrib/117779907531395137716/reviews?hl=zh-TW
16,ChZDSUhNMG9nS0VJQ0FnSUQzdHJ6cGVBEAE,,1 週前,2024-11-26 16:27:21,5.0,陳玫錡,2,https://www.google.com/maps/contrib/104225219243402826606/reviews?hl=zh-TW
17,ChdDSUhNMG9nS0VJQ0FnSUNyNG9xZXpRRRAB,2024/10/29更新投訴內容 2024/11/14更新醫院回覆 - 鄙人一直以來的胃食道逆流導致食道潰瘍，在2024/06因超過一週沒有治療好，經曾在長庚工作的腸胃科診所醫生轉診。  轉診至林口長庚耳鼻喉科，主治醫生林婉妮（同音可能不同字）當下信誓旦旦說這是腫瘤，而且非常晚期需要立刻安排切片檢查。  結果7月份切片完，小弟因此二次確診，喉嚨痛的要命還沒辦法開口說話，回診看報告說這是癌症初期但還不是癌症、也沒辦法切除，當時從鼻鏡上看來整個受傷位置已經跟第一次完全不一樣，疑惑都沒被解答，就草草開了一大堆止痛藥跟抗過敏藥趕我回去。  在候診區問護理師說如果不是癌症，良性腫瘤不能切除嗎，護理師才又唯唯諾諾說這也不是腫瘤。  低頭一看診斷書，診斷結果「食道潰瘍」。  有點醫德可以嗎？我們這些病患跟家屬就只是希望解決病痛，要回一個健康的生活，從來都是相信醫生專業且配合治療，但這樣一而再再而三的搞這種模凌兩可的診療，要怎麼讓我們相信專業？  當時我太太懷孕七個月被林婉妮隨便說一個晚期腫瘤嚇得半死，結果最後只是食道潰瘍沒治療好，良心都不會過意不去？  還請貴院認真檢視該醫生的用字遣詞，後來我去北榮喉科主任醫生那檢查，對方覺得這行為非常誇張，且切片判斷過於武斷，在名詞定義上癌症根本就不能按林婉妮個人意識曲解，這對患者而言心理壓力真的非常大，請改善這種對病人不負責任的行為。 － 11/14收到醫院行政小姐回覆，要找林婉妮口頭跟我解釋溝通誤會，當下只覺得很荒謬，用字不專業就事實、不是癌症就不是癌症，如果「癌症初期」不是癌症，那「癌症中期」「癌症晚期」「癌症末期」是不是癌症？  最後感謝行政小姐認真的聽鄙人抱怨，衷心期盼林婉妮用字遣詞可以精準，對得起自己醫學院多年的專業。,1 週前,2024-11-26 16:27:21,1.0,Jack (LBY),則評論,https://www.google.com/maps/contrib/106132510373628805055/reviews?hl=zh-TW
18,ChdDSUhNMG9nS0VJQ0FnSUNub3JHQl9RRRAB,神經外科黃盈誠跟吳杰才 不聽家屬跟病人說話 就自以為的自己很厲害專業 講話態度很不好 護士也沒有好到哪裡去 浪費時間在醫院等 還有看眼科可以從早上8點看到晚上9-10點 真的 要不要買菜買肉帶椅子跟棉被來這裡啊 誇張,1 週前,2024-11-26 16:27:21,1.0,家曉惠,0,https://www.google.com/maps/contrib/109081704924898552439/reviews?hl=zh-TW
