,評論編號,評論,評論相對時間,查詢時間,評分,使用者名稱,有幾則評論,評論者網址
0,ChZDSUhNMG9nS0VJQ0FnSUNQbE4zeFZnEAE,醫生雖然專業細心安排檢查  但是住院期間的7樓護士態度極差 抽血抽到噴血不止一次 檢查的時候不斷勾到病患的點滴管 甚至連道歉都沒有 有疑問詢問護士 卻得到一個敷衍了事非常不屑的回應 真的不知道能說什麼,4 天前,2024-11-26 16:03:29,1.0,ABC,1,https://www.google.com/maps/contrib/102441152606079769969/reviews?hl=zh-TW
1,ChZDSUhNMG9nS0VJQ0FnSUMzckp6ZEpREAE,非常感謝戴以信醫師（心臟科醫師）。現在兒子在台灣健康快樂。我們將永遠感激您。 ???。 …,3 週前,2024-11-26 16:03:29,5.0,Bilegee Drm,0,https://www.google.com/maps/contrib/113950756440834049835/reviews?hl=zh-TW
2,ChZDSUhNMG9nS0VJQ0FnSUNYeWFhemVnEAE,之前在兒童急診遇到楊樹文醫生之後，我跟女兒有感冒症狀都一定來找他?????? …,1 個月前,2024-11-26 16:03:29,5.0,阿里姍姍,則評論,https://www.google.com/maps/contrib/114866745317283111450/reviews?hl=zh-TW
3,ChdDSUhNMG9nS0VJQ0FnSURuaUo2ZXdBRRAB,您好，請問5歲孩紙乳牙都沒掉，又長出鯊魚牙。而且鯊魚牙長出來是不齊的。稍微外八的感覺。需要馬上拔掉嗎？,1 個月前,2024-11-26 16:03:29,4.0,陳潔儀,0,https://www.google.com/maps/contrib/105752953261502248763/reviews?hl=zh-TW
4,ChZDSUhNMG9nS0VJQ0FnSUNucTVxcVhREAE,（排檢大家還是早點來，醫院安排的檢查時間只是參考用）..今天安排超音波檢查，因為臨時有事至電改在今天早上10:50，詢問後才知道我前面還有10個人．．？？阿不是叫我10:50過來？得到的回應既然是，我是改時間才穿插進來的，那幹嘛還給我時間，直接叫我早點來等就好了，整個心裡大OS. 後來聽到一個大媽也在問同樣的事，志工的大哥回答說其他人很早就來了，所以要等，喔…原來醫院安排的時間只是參考用而已，先到先檢查，妳稍後. 真的是提供給將要過去檢查的人建議，如果檢查當天有時間就提前來排隊，看到大媽很無奈地坐下來，我直接選擇不檢查了，請護士直接幫我取消，護士說可以幫我更改時間，我直接說不用了，因為下次來應該也是這樣. 健康很重要，時間也很重要，後來決定更改去別的醫院檢查，希望醫院能多加重視每個病人的時間權利,1 個月前,2024-11-26 16:03:29,1.0,Chung-Yu Nien,則評論,https://www.google.com/maps/contrib/113301158834724143815/reviews?hl=zh-TW
5,ChdDSUhNMG9nS0VJQ0FnSUNubFlLZHBRRRAB,立夫兒童抽血站，只到中午12點。明明打了三次電話確認，都只說到下午4點,1 個月前,2024-11-26 16:03:29,1.0,鄭詠仁,1,https://www.google.com/maps/contrib/102271616804748466576/reviews?hl=zh-TW
6,ChdDSUhNMG9nS0VJQ0FnSUNubGVqaHZRRRAB,,1 個月前,2024-11-26 16:03:29,1.0,阿,3,https://www.google.com/maps/contrib/104977394479602816630/reviews?hl=zh-TW
7,ChZDSUhNMG9nS0VJQ0FnSUNIcThlTElnEAE,護理師人很好 陳醫師做胃鏡的速度也很快 而且很有效率 第一次去看診馬上就做胃鏡 整個看診到做胃鏡結束到繳費離開只用了查不多3小時 之後回診再做胃鏡整個流程也不到兩小時 最有效率的醫院 護理師真的很溫柔 噴麻藥的時候看我很痛苦就握著我的手 你超棒,2 個月前,2024-11-26 16:03:29,5.0,黃語綾,1,https://www.google.com/maps/contrib/108187461190546034379/reviews?hl=zh-TW
8,ChZDSUhNMG9nS0VJQ0FnSUNIaHFIdWVREAE,9/4下午看王仲興醫師門診，因為聽不清楚叫的是誰的名字，再詢問一次， 結果得到一位幫忙量身高的護理師語氣態度及臉部表情非常不耐煩的回應， 第一次在這裡看診遇到態度這麼差的護理師,2 個月前,2024-11-26 16:03:29,1.0,楊翎育,則評論,https://www.google.com/maps/contrib/104214069182557002612/reviews?hl=zh-TW
9,ChdDSUhNMG9nS0VJQ0FnSUQ3ejczU2dBRRAB,楊醫師 對小孩超親切，小孩不怕跟醫生互動??? …,2 個月前,2024-11-26 16:03:29,5.0,吳孟哲,1,https://www.google.com/maps/contrib/102477392944290685015/reviews?hl=zh-TW
