,評論編號,評論,評論相對時間,查詢時間,評分,使用者名稱,有幾則評論,評論者網址
0,ChdDSUhNMG9nS0VJQ0FnSUNQMmZxQXl3RRAB,根本就是營利單位，遇到的每個單位與人員責任都撇清的非常清楚，有問題沒有商量空間叫你自己負責，申訴管道如同虛設，敷衍回應草草結案。,5 小時前,2024-11-26 15:53:42,1.0,Fan Yi,則評論,https://www.google.com/maps/contrib/105132574430840242082/reviews?hl=zh-TW
1,ChZDSUhNMG9nS0VJQ0FnSUNQeU1Tc0RBEAE,2022年7月底小兒6個月大，因肝炎進入兒童加護病房住院一個月，謝謝12PW病房的所有醫護的照顧，在第一線面對各家長的擔憂與負能量仍繼續為台灣兒童們做付出。在此特別感謝陳慧玲醫生每一次的見面都給我們很大的定心丸及醫療安排，再次感謝所有醫護人員！,5 天前,2024-11-26 15:53:42,5.0,米棋Hsiao,則評論,https://www.google.com/maps/contrib/115885965352482311843/reviews?hl=zh-TW
2,ChZDSUhNMG9nS0VJQ0FnSUQzX2Q3QkVnEAE,醫生都好棒。護理師長，護理師的服務在十一還有十樓都好專業，而且好有耐心。教我跟太太好多好多。非常感謝。當然一樓等等也很好！  可能一開始會覺得護理師問太多問題，但最後真的我們好感謝 - 因為這些問題好重要。,1 週前,2024-11-26 15:53:42,5.0,Chien G (Chiengkt),則評論,https://www.google.com/maps/contrib/112028075402337089457/reviews?hl=zh-TW
3,ChZDSUhNMG9nS0VJQ0FnSUMzLWRQSk9nEAE,小朋友們加油！等病好了，我們在外面一起玩? …,2 週前,2024-11-26 15:53:42,5.0,徐凱芳,則評論,https://www.google.com/maps/contrib/111475236914780124477/reviews?hl=zh-TW
4,ChdDSUhNMG9nS0VJQ0FnSUMzb29hVV9RRRAB,誠心給台大家庭資源中心建議。入內拖鞋著?的要求可以理解。但也請考量現代人的衣著習慣，考慮主動提供一次性襪套。否則一早這間圖書中心空在那也是浪費，侯診想帶小朋友的家長，因死板規定不得而入。可惜了良好的立意，卻未能真正發揮效用。,3 週前,2024-11-26 15:53:42,2.0,"Yu Hsin, Natalie Lee",則評論,https://www.google.com/maps/contrib/102902201519572443245/reviews?hl=zh-TW
5,ChZDSUhNMG9nS0VJQ0FnSURYcVlhTGRnEAE,糟糕治療體驗還會讓兒童咬受傷,4 週前,2024-11-26 15:53:42,1.0,W M,1,https://www.google.com/maps/contrib/110385576563014527643/reviews?hl=zh-TW
6,ChZDSUhNMG9nS0VJQ0FnSURYM3UzMmVREAE,兒童牙科的張曉華醫生醫術超棒！ 溫柔、細心、好溝通，是我的女神?? 從小看到大，希望張醫生不要太早退休 以後生孩子也要給張醫生看( ?▽?),4 週前,2024-11-26 15:53:42,5.0,Claire Ying,0,https://www.google.com/maps/contrib/112286459800385063494/reviews?hl=zh-TW
7,ChdDSUhNMG9nS0VJQ0FnSURYdXB6MXhnRRAB,在這邊護理人員好像是用滿房來當業績一樣，一方面跟我們說要等我們學好居家照顧再讓小孩出院，一方面又不讓家長進去學照顧，說只能在一般病房，台大醫院離我家很遠，如果住一般病房對我們很不便利，加上爸爸平常也要上班，是要如何家裡、公司、醫院三頭跑，是當爸爸有三頭六臂還是影分身之術，在前一家醫院我跟小孩感情不錯，小孩看到我會笑，到了這邊小孩已經因為我很難看到他開始對我生悶氣了，在這個時候你還想叫我們學完第二套照顧模式再回家，沒錯，我們在前一家醫院已經學過，但因為你們照顧模式、設備跟前一家有點不同，所以等於要我們重來，那小孩究竟要幾個月才能回家，出生到現在還沒回家能不能體諒一下做父母的心情,4 週前,2024-11-26 15:53:42,1.0,Owen Cheng,則評論,https://www.google.com/maps/contrib/105589851114779139973/reviews?hl=zh-TW
8,ChdDSUhNMG9nS0VJQ0FnSUNYbDdETTd3RRAB,真的是一顆星也沒必要給啦 我妹去看個皮膚科 結果居然跟我說那都是體質關係啦 沒辦法好了這樣 結果最後花時間花錢就用幾句話打發我們 連藥膏甚麼的都沒有給 現在是怎樣 當醫生了不起喔 連一點職業道德也沒有 我跟你們說啦 要是我妹之後出什麼問題 我一定提告你們,1 個月前,2024-11-26 15:53:42,1.0,惡靈,4,https://www.google.com/maps/contrib/109799698360248477639/reviews?hl=zh-TW
9,ChZDSUhNMG9nS0VJQ0FnSUNYM0xfU0dREAE,,1 個月前,2024-11-26 15:53:42,5.0,郭靜瑜,0,https://www.google.com/maps/contrib/103151467500490361523/reviews?hl=zh-TW
