,評論編號,評論,評論相對時間,查詢時間,評分,使用者名稱,有幾則評論,評論者網址
0,ChdDSUhNMG9nS0VJQ0FnSUQzZzZQVnBnRRAB,小孩手術住院， 電燈正上方壞掉， 光維修人員就跑兩次， 電視也是壞的,1 週前,2024-11-26 16:01:07,1.0,張毓銘,1,https://www.google.com/maps/contrib/100620631970707017385/reviews?hl=zh-TW
1,ChdDSUhNMG9nS0VJQ0FnSUQzcElXcmp3RRAB,看到3.6顆星果然是高估了！小孩發燒到40度，這位16:30-17:30看診的醫生只採流感照X光後，說肚子裡都大便，平常有沒有吃益生菌（回答有）然後開藥讓我們回去，發燒不是因為宿便的原因，不知道為什麼發燒！那我們去急診幹嘛？開藥？吃退燒？（我不會去藥局買嗎？還收費1000元 笑死人了！這位真是神醫，不用抽血就可知到小孩的病情,1 週前,2024-11-26 16:01:07,1.0,張家榮,4,https://www.google.com/maps/contrib/101265853940975447511/reviews?hl=zh-TW
2,ChdDSUhNMG9nS0VJQ0FnSUNYaklqZ3dBRRAB,人生第一次評價 就一顆星…?? 長眼睛發眉毛 沒看過這麼誇張的?? 我會打算考慮叫記者??  小孩才剛滿1歲 一直大水便 上吐下瀉 反覆發高燒 退又燒 晚上10點 去彰基小兒科 掛急診  醫生評估完 說可能是腸胃炎?? 也有可能是其他的?? 說要抽血 照X光 驗大便 檢查 才能確定病情??  小孩才剛滿1歲 要抽血… 我也是很不捨…但我還是相信醫生的專業  結果之後 照X光時 叫我一個人抓小孩 要照小孩的肚子  小孩還小 就在不舒服了 又會怕 會一直翻身 亂動掙扎 一直哭 沒辦法好好照X光  結果護士那麼多個 沒有一個可以幫忙抓小孩???? 結果X光 也沒辦法照成  那也就算了….體諒護士都要忙….  之後換抽血 也是叫我一個人抓小孩 其他護士在旁邊閒晃 都沒有人過來幫忙??  抽血過程 護士手腳慢 就算了 還找不到血管位置 那也就算了??  找了1分多鐘 才找到 最扯的是 我回家後發現 針沒插到血管?? 小孩的血流不出來 還用硬擠的把血擠出來?? 用手擠到我小孩的手都瘀青?? 我有圖有真相 有證據 我家人也都說很扯 難怪當時小孩血都用低的 不是用流的??  最扯的是?? 抽血過程 整整抽了10分鐘….?? 小孩哭了整整10分鐘… 哭到全身冒冷汗 整個臉都發紅…. 抽完 貼棉花 還沒貼好 整個手都是血….??  連我們大人都受不了了 何況是才剛滿1歲的小孩  那也就算了…. 然後說要等報告 要等1個小時  剛1歲的小孩 抽個血 抽到10分鐘 怕到一直哭 加上不舒服 一直哭  結果等了整整2個小時 報告才出來??  那也就算了….  結果 抽血報告說 完全沒問題？ 可能是腸胃炎 又有可能是其他？?? 要再回家吃藥觀察….？  剛開始就說腸胃炎了 幹嘛還要抽血 照X光？  最後也沒有給一個明確的病情….??  最後還說 現在太晚了 叫我先回去 小孩大便時 叫我自己驗大便？ 驗完 再自己拿去醫院化驗…. 還要等1個小時的報告….  晚上10點掛急診 出院都凌晨3點了….  結果 小孩血白抽了?? 抽個血 可以抽10分鐘??  抽個血也才不到1分鐘的事情而已 可以抽到10分鐘?? 誰能受得了小孩這樣？  真的要重新教育一下醫護人員 效率極差 態度不佳?? 有時間聊天閒晃 沒時間幫忙協助??  麻煩急診護士要請厲害一點的?? 幼小孩子無法承受這樣  今天換成是你的小孩 你們感想如何？  真的是有夠誇張?? 嚇到了 以後不敢去了…..,1 個月前,2024-11-26 16:01:07,1.0,BC A,1,https://www.google.com/maps/contrib/111659290866425200188/reviews?hl=zh-TW
3,ChdDSUhNMG9nS0VJQ0FnSUNubmV5Q3FBRRAB,,1 個月前,2024-11-26 16:01:07,5.0,歐玥彤,38,https://www.google.com/maps/contrib/110750340608773343960/reviews?hl=zh-TW
4,ChZDSUhNMG9nS0VJQ0FnSURIeXBhRll3EAE,突然小孩發燒帶去彰基兒童醫院急診， 9/14 19:40 的兒童急診醫生-黎權益醫師跟護理師人都很好，有耐心說明！感謝,2 個月前,2024-11-26 16:01:07,5.0,陳小個,則評論,https://www.google.com/maps/contrib/102464458161675138652/reviews?hl=zh-TW
5,ChdDSUhNMG9nS0VJQ0FnSURINE9tMHZBRRAB,醫生都超級溫柔的，很讚? …,2 個月前,2024-11-26 16:01:07,5.0,洪乃彗,0,https://www.google.com/maps/contrib/114359095426677341353/reviews?hl=zh-TW
6,ChdDSUhNMG9nS0VJQ0FnSUNIajg2di13RRAB,9/10 下午14:00 櫃檯歐巴桑態度很差 這麼大間的醫院 在第一線面對病患及家屬的員工也不會稍微篩選,2 個月前,2024-11-26 16:01:07,1.0,汪炎五世,3,https://www.google.com/maps/contrib/104640407066752825922/reviews?hl=zh-TW
7,ChdDSUhNMG9nS0VJQ0FnSUNIdHI3NXRRRRAB,,2 個月前,2024-11-26 16:01:07,1.0,Xhabsdjks,2,https://www.google.com/maps/contrib/102560764286015685206/reviews?hl=zh-TW
8,ChdDSUhNMG9nS0VJQ0FnSUNILXZfeTJnRRAB,今年8月，孫女在彰基兒童照顧病房接受照顧期間，發現護理人員非常沒有愛心，小孩哭鬧應該多加關係，教學醫院這種照顧品質讓人不敢恭維，,2 個月前,2024-11-26 16:01:07,1.0,李美惠,0,https://www.google.com/maps/contrib/117424128560402217421/reviews?hl=zh-TW
9,ChdDSUhNMG9nS0VJQ0FnSUM3dWZIQ3F3RRAB,資訊部門能力極差，電子化流程設計超爛，初診資料填寫一下子要拼字，一下子手寫，啥鬼東西，這種爛部門直接砍了外包品質說不定還比較好,3 個月前,2024-11-26 16:01:07,1.0,Andrew Wang,則評論,https://www.google.com/maps/contrib/108501566163661452300/reviews?hl=zh-TW
