,評論編號,評論,評論相對時間,查詢時間,評分,使用者名稱,有幾則評論,評論者網址
0,ChdDSUhNMG9nS0VJQ0FnSUNQMGR5SHl3RRAB,感謝今天所有開刀房的醫護人員 第一次感覺開刀是病人 還被不時的關心 真的感動到眼淚掉不停 有您們真好 感謝有您們???,20 小時前,2024-11-26 15:55:00,5.0,Angel,則評論,https://www.google.com/maps/contrib/117696087548263479167/reviews?hl=zh-TW
1,ChdDSUhNMG9nS0VJQ0FnSUNQNGJDYjRnRRAB,真的不是我要挑剔，X的，馬偕兒醫護士  每一個診間的護士態度都很差，診間護士很閒，只需要提早拿健保卡問身高體重，這樣情況下的護士每一個都不知道在跩什麼的，護士有粉紅色衣服跟紫色衣服的都一樣！不專業的跩，問他一個問題非常不耐煩，哈囉！你要知道你是專業人士在你的崗位上每天接觸這些事情叫做理所當然，其他人也許第一次到醫院，也許第一次去看這個門診，也許第一次接觸相關問題，問你的不是我們專業問題，你是在不耐煩什麼 婦產科產檢要尿液檢驗，說什麼提倡環保不給紙杯，試紙怎麼驗？護士說就尿尿的時候沾一下，而且那個表情真的很想揍他，你知道大肚子的人要滴到試紙上多困難嗎，出了事情你負責嗎？！搞得好像去產檢的人沒有繳費一樣！有多環保！這麼環保請將飲水機的紙杯收起來！  超音波的一樣，每一個都在趕件，每一個都很不耐煩，把肚皮當桌子一樣用力的操作，問他什麼問題都說請回診間問醫師，感覺就是例行公事一樣，你是機器人嗎，你可能不想擔責任，所以敷衍，但是基本的妳也不會說明一下。那就算了你憑什麼跟三姑六婆一樣八卦想要問東問西，看到別人的病例想多問兩句問了你又說你不知道你不是醫師，那你是在哈囉 馬偕醫院要不是有完整的醫療體系對兒童而言，你們根本不配，超音波的很會推責任，叫我們都要去找醫師問，如果今天是醫師親自照超音波產檢，一定會照到什麼說什麼，什麼周數該注意什麼事情，而不是像你們一樣例行性的敷衍照完不用2分鐘直接叫病患去診間等候，這也沒什麼，重點是你那個態度真的很讓人不爽，就算是例行公司也不用這樣！我期待有一天等你要生產或是你家人要生產的時候受到一樣的待遇。  然後診間等待的時間是天翻地覆。 等待沒有問題，你知道馬偕的體質是過號無敵體制嗎？假如今天你30號你會等個沒完沒了，為什麼，因為1-29號姍姍來遲，你不能拿他怎麼樣之外？很有可能停留在26-30一直等候，因為他會一直穿插過號，也就是你明明在家裡看到已經25號了，要去醫院候診，但是到了現場有至少10個掛號的名單在你前面，然後你就無止盡的等 30號也許不用等那麼久，如果你今天是40號！我保證你要等2.5-3個小時，就是因為掛號的姍姍來遲，兩點看診，10號以內的可以四點才來，然後在你前面，甚至30號以內的都不用太早來，因為就是‘’過號無敵‘’！過號的順序絕對會比你的號碼還要前面，很莫名其妙吧，婦產科只有掛號的困擾，其他診間還有敬老的優先看診權的困擾，你只要是30號以後的你絕對就一定一定一定要等三個小時以上，這三個小時不是因為醫師看診太慢，也不完全是病患太多，完完全全就是在你前面的號碼姍姍來遲，他只要在你看診前插卡報到，就宣判了，你就等吧！因為他的號碼在前面！就因為這樣而已，這種無聊的體制，我不知道馬偕為什麼這樣創立，這樣創立之後，為什麼要有看診進度，你在網路上永遠看不到過號的人，永遠停留在假設35號，因為他穿插了前面掛號的人他還是在35號導致你會認為已經35號了我也許38號可以先去我也許40號可以到現場了，結果到現場就是等那些掛號的人，一直穿插在你前面看診  衛教師們更跩，9-16是他們上班時間，你超過16:00才看診完的話就找不到衛教師 、營養師，你得在上班時間找時間特地去一趟，然後求他們一樣的麻煩他，我曾經16:30醫師說可以去找衛教師，也幫我開單了，去到他像趕場一樣念經，唸完就教完了一樣，問他問題還被白眼！她就是3樓的妊娠中心人員，他想17:00準時下班，有種你就去跟醫生抱怨為什麼16:00後還開單讓病患可以領取東西啊！對病患白眼甩態算什麼！你最好這輩子苦守著你鍾愛的工作不會遇到其他人其他事，我由衷希望你這種人去看診被一樣的對待，尤其你的家人們！有種換工作，不要殘害他人，沒本事換工作又只會耍權對病患擺姿態的護士們！,1 天前,2024-11-26 15:55:00,1.0,FangYi,則評論,https://www.google.com/maps/contrib/108678777506252988532/reviews?hl=zh-TW
2,ChZDSUhNMG9nS0VJQ0FnSUQzM1BlcWZREAE,推薦給各位家長及病院兒童家屬：  兒童醫院1樓，現在有便利的餐點選擇！貼心的老闆特地從B1上來設攤，提供您便捷的美食服務，為病院中的您和孩子帶來更多便利。希望大家多多支持，讓老闆的辛勞得到回報，也祝他生意興隆，服務長久！,1 週前,2024-11-26 15:55:00,5.0,liu tina,則評論,https://www.google.com/maps/contrib/112160617312595673880/reviews?hl=zh-TW
3,ChdDSUhNMG9nS0VJQ0FnSUQzb1BXRHZ3RRAB,真的很幸運能在這裡受到張幸治醫生跟5A同仁們的照顧，讓我能快速康復出院。以及病患真的很多常常讓她們忙不過來，但是還是非常有耐心的安撫病人情緒及給病患家屬提出問題給予回應及幫助。你們真的辛苦了??環境非常溫馨就是吃的東西選擇性太少了? …,2 週前,2024-11-26 15:55:00,5.0,Qi M,則評論,https://www.google.com/maps/contrib/106765795616076802726/reviews?hl=zh-TW
4,ChdDSUhNMG9nS0VJQ0FnSUMzMTVyX2tnRRAB,只能說有待加強,2 週前,2024-11-26 15:55:00,1.0,Hi,0,https://www.google.com/maps/contrib/108639700538197822157/reviews?hl=zh-TW
5,ChdDSUhNMG9nS0VJQ0FnSUMzMk1qVDN3RRAB,,3 週前,2024-11-26 15:55:00,5.0,Jennifer Pertez,0,https://www.google.com/maps/contrib/104653349640788885126/reviews?hl=zh-TW
6,ChZDSUhNMG9nS0VJQ0FnSURYdDVhQ1lBEAE,真的真心感謝醫護人員 所有的醫療團隊 在颱風天依舊看診 辛苦了～真心跪謝??♀? …,3 週前,2024-11-26 15:55:00,5.0,祉儀（sa mmi）,則評論,https://www.google.com/maps/contrib/114523414203646919752/reviews?hl=zh-TW
7,ChdDSUhNMG9nS0VJQ0FnSURYaDRidDJ3RRAB,今天颱風天經過這間醫院看到他們外面居然有人在撿垃圾，應該是他們的員工吧，強颱欸！全台灣都停班課的，又不是沒風雨，大風大雨的，不危險嗎？走路都走不穩的在撿垃圾？還是樹枝？太誇張了吧…兒童醫院是可以看大人的嗎？是員工在戶外有什麼危險就直接送急診？還是沒看到人有什麼意外就覺得無所謂？真覺得很離譜，馬偕欸！一個不會關愛員工的醫院，會有多關愛病人呢？更不用說小孩了，很可怕！颱風天可以不用上班的，那些人肯去上班已經很敬業了，還要折磨他們去外面整理，超級無良的欸！  然後之前就陪家人去看診，先說這間醫院的好…很新很乾淨，而且沒有討厭的醫院消毒味，但汽車停車場的規劃很奇特，出入口同一個，還很小，是要考駕照嗎?還有不看燈號行進的跟直接逆向的，超級危險！ 再來病房的廁所連個抽風沒有，阿廢氣排去哪裡？阿不知道台灣很潮濕嗎？尤其北部更潮濕，居然一個簡單的排氣抽風都沒有，床單、枕頭、棉被也都有血漬嗎？還是發霉？覺得很離譜！ 阿對了，還有看到停車場內直接有人吐檳榔、抽煙，素質也是…呵呵  反正感覺是偷工減料、東省西省出來的，這樣的建築會有多安全是不知道，但光看到這些就覺得不可思議（其實還有，只是一時沒想到，今天颱風天颳大風下大雨的看到那一幕覺得令人鼻酸，就想讓大家知道你們這間醫院有多扯）。,3 週前,2024-11-26 15:55:00,1.0,Rengos,則評論,https://www.google.com/maps/contrib/104261003319539917283/reviews?hl=zh-TW
8,ChZDSUhNMG9nS0VJQ0FnSURYeGQ2U2RBEAE,完全不像是醫院的 新竹馬偕兒童醫院， 裝置藝術彩繪牆， 童趣又療癒的設計。  缺點是， 入口出口的地下停車場 的車道很窄。,3 週前,2024-11-26 15:55:00,4.0,Shuli Ma,則評論,https://www.google.com/maps/contrib/107653225629974671574/reviews?hl=zh-TW
9,ChZDSUhNMG9nS0VJQ0FnSURYdklhaUtBEAE,兒科次專科完整，環境整潔舒適，交通便利，讓新竹爸媽安心方便很多很多。,4 週前,2024-11-26 15:55:00,5.0,pimchuan Lai,2,https://www.google.com/maps/contrib/101439418625389325206/reviews?hl=zh-TW
